"FIT.Number";"year.of.record";"Service.type";"Reason.for.force";"UOF.effective";"District.or.division";"Force.type";"Force.level";"Month.occurred";"Officer.primary.key";"Officer.sex";"Officer.race";"Officer.age.at.time.of.UOF";"Officer.years.exp.at.time.of.UOF";"Officer.injured";"Citizen.race";"Citizen.sex";"Citizen.age";"Citizen.injured";"Disposition"
"196";"FTN2018-0410";2018;"Call for Service";"Resisting Lawful Arrest";"Yes";"5th District";"Takedown (no injury)";"L1";11;"f3af04d47031f1fae49bc7392d99a542";"M";"White";"31";"9";"No";"Black / African American";"M";"51";"No";"UOF Justified"
"197";"FTN2018-0410";2018;"Call for Service";"Resisting Lawful Arrest";"Yes";"5th District";"Takedown (no injury)";"L1";11;"f3af04d47031f1fae49bc7392d99a542";"M";"White";"31";"9";"No";"Black / African American";"M";"49";"No";"UOF Justified"
"198";"FTN2018-0410";2018;"Call for Service";"Resisting Lawful Arrest";"Yes";"5th District";"Takedown (no injury)";"L1";11;"e49ec9e496850e8ca3b931b7ec378179";"M";"Black / African American";"24";"1";"No";"Black / African American";"M";"49";"No";"UOF Justified"
"199";"FTN2018-0410";2018;"Call for Service";"Resisting Lawful Arrest";"Yes";"5th District";"Takedown (no injury)";"L1";11;"e49ec9e496850e8ca3b931b7ec378179";"M";"Black / African American";"24";"1";"No";"Black / African American";"M";"51";"No";"UOF Justified"
"200";"FTN2018-0408";2018;"Call for Service";"refuse verbal commands";"No";"3rd District";"Firearm Exhibited";"L1";11;"b01217681bd09300e97f1c89cb51af7f";"M";"Black / African American";"49";"31";"No";"Black / African American";"M";"25";"No";"NULL"
"201";"FTN2018-0408";2018;"Call for Service";"refuse verbal commands";"No";"3rd District";"Firearm Exhibited";"L1";11;"e0a20d93c286215978f9b5f3518c8505";"M";"White";"40";"4";"No";"Black / African American";"M";"25";"No";"NULL"
"202";"FTN2018-0408";2018;"Call for Service";"refuse verbal commands";"Yes";"3rd District";"L2-Taser";"L2";11;"eb1d9cfe036f139716ebce7c4fe5d63d";"M";"Black / African American";"43";"21";"No";"Black / African American";"M";"25";"No";"NULL"
"203";"FTN2018-0408";2018;"Call for Service";"refuse verbal commands";"No";"3rd District";"Firearm Exhibited";"L1";11;"d748aa90c0db2e82c2a628d253bd3163";"M";"White";"34";"2";"No";"Black / African American";"M";"25";"No";"NULL"
"204";"FTN2018-0407";2018;"Call for Service";"Battery on Police Officer";"Yes";"8th District";"Hands / Escort tech";"L1";11;"996a8cb7bd962fcdca733086b7c60350";"M";"White";"27";"2";"No";"White";"M";"69";"No";"UOF Justified"
"205";"FTN2018-0407";2018;"Call for Service";"Battery on Police Officer";"Yes";"8th District";"Hands / Escort tech";"L1";11;"a98d4b3a7238c9ba9138384b43c5ca8f";"M";"White";"24";"2";"No";"White";"M";"69";"No";"UOF Justified"
"206";"FTN2018-0406";2018;"Arresting";"Tactical Deployments";"Yes";"8th District";"Firearm Exhibited";"L1";11;"e0a20d93c286215978f9b5f3518c8505";"M";"White";"40";"4";"No";"Black / African American";"M";"23";"No";"UOF Justified"
"207";"FTN2018-0406";2018;"Arresting";"Tactical Deployments";"Yes";"8th District";"Firearm Exhibited";"L1";11;"e0a20d93c286215978f9b5f3518c8505";"M";"White";"40";"4";"No";"White";"M";"21";"No";"UOF Justified"
"208";"FTN2018-0406";2018;"Arresting";"Tactical Deployments";"Yes";"8th District";"Firearm Exhibited";"L1";11;"e0a20d93c286215978f9b5f3518c8505";"M";"White";"40";"4";"No";"White";"M";"24";"No";"UOF Justified"
"209";"FTN2018-0404";2018;"Call for Service";"refuse verbal commands";"Yes";"3rd District";"Firearm Exhibited";"L1";11;"955c4dee269aaf60a35e99fe935ba2d1";"M";"White";"29";"3";"No";"Black / African American";"M";"17";"No";"UOF Justified"
"210";"FTN2018-0404";2018;"Call for Service";"refuse verbal commands";"Yes";"3rd District";"Firearm Exhibited";"L1";11;"955c4dee269aaf60a35e99fe935ba2d1";"M";"White";"29";"3";"No";"Black / African American";"M";"17";"No";"UOF Justified"
"211";"FTN2018-0404";2018;"Call for Service";"refuse verbal commands";"Yes";"3rd District";"Firearm Exhibited";"L1";11;"955c4dee269aaf60a35e99fe935ba2d1";"M";"White";"29";"3";"No";"Black / African American";"M";"14";"No";"UOF Justified"
"212";"FTN2018-0404";2018;"Call for Service";"refuse verbal commands";"Yes";"3rd District";"Firearm Exhibited";"L1";11;"955c4dee269aaf60a35e99fe935ba2d1";"M";"White";"29";"3";"No";"Black / African American";"M";"18";"No";"UOF Justified"
"213";"FTN2018-0402";2018;"Call for Service";"Other";"Yes";"6th District";"L2-Taser";"L2";11;"2d44a08d553795b313396ef3a03e96b5";"M";"White";"31";"3";"No";"Black / African American";"M";"52";"Yes";"UOF Justified"
"214";"FTN2018-0401";2018;"Arresting";"Resisting Lawful Arrest";"No";"6th District";"L2-Taser";"L2";10;"487cd1b0716d90d74c4971bdeeddcfa9";"M";"Black / African American";"28";"2";"No";"Black / African American";"M";"38";"No";"UOF Justified With Training"
"215";"FTN2018-0400";2018;"Call for Service";"Resisting Lawful Arrest";"Yes";"7th District";"Hands / Escort tech";"L1";10;"228322477d41201d58a437a6e53b5169";"M";"White";"35";"1";"No";"Black / African American";"F";"18";"No";"UOF Justified"
"216";"FTN2018-0400";2018;"Call for Service";"Resisting Lawful Arrest";"Yes";"7th District";"Hands / Escort tech";"L1";10;"358193feea9546844570d459f0044943";"F";"White";"43";"3";"No";"Black / African American";"F";"18";"No";"UOF Justified"
"217";"FTN2018-0399";2018;"Arresting";"Resisting Officer w/Weapon";"Yes";"5th District";"Firearm Exhibited";"L1";10;"aa1a7c736c8edef10b56dcbe769ceefd";"M";"Black / African American";"36";"11";"No";"Black / African American";"M";"39";"Yes";"UOF Justified"
"218";"FTN2018-0399";2018;"Arresting";"Resisting Officer w/Weapon";"No";"5th District";"Takedown (w/injury)";"L2";10;"aa1a7c736c8edef10b56dcbe769ceefd";"M";"Black / African American";"36";"11";"No";"Black / African American";"M";"39";"Yes";"UOF Justified"
"219";"FTN2018-0397";2018;"Other";"refuse verbal commands";"Yes";"2nd District";"Firearm Exhibited";"L1";10;"643f7055ba470390ff1028b2a6b77daf";"M";"White";"29";"2";"No";"Black / African American";"M";"39";"Yes";"UOF Justified"
"220";"FTN2018-0398";2018;"Call for Service";"refuse verbal commands";"Yes";"8th District";"Hands / Escort tech";"L1";10;"93fc599d66d8f2290b625994e193f258";"M";"White";"NULL";"NULL";"No";"Black / African American";"M";"30";"No";"UOF Justified"
"221";"FTN2018-0395";2018;"Arresting";"Flight from an Officer";"Yes";"8th District";"Firearm Exhibited";"L1";10;"49c8212dce0f637adaa7c2767dfe1bba";"M";"White";"30";"3";"No";"Black / African American";"M";"15";"No";"UOF Justified"
"222";"FTN2018-0396";2018;"Call for Service";"Room Clearing";"Yes";"7th District";"Firearm Exhibited";"L1";10;"0f61db7ba8ce36210ec5f53f5ba3cf98";"M";"White";"44";"11";"No";"Black / African American";"F";"17";"No";"UOF Justified With Training"
"223";"FTN2018-0394";2018;"Pedestrian Stop";"Flight from an Officer";"Yes";"1st District";"Defense Tech / Take-down";"L2";10;"ee96d793354de0fe5385f3da15025550";"M";"White";"35";"11";"No";"Black / African American";"F";"20";"Yes";"UOF Justified"
"224";"FTN2018-0403";2018;"Call for Service";"refuse verbal commands";"Yes";"3rd District";"Takedown (no injury)";"L1";10;"be0f87812224ec2d8da46f5f632569f4";"M";"Black / African American";"31";"9";"No";"Black / African American";"M";"34";"No";"UOF Justified"
"225";"FTN2018-0394";2018;"Pedestrian Stop";"Flight from an Officer";"Yes";"1st District";"Hands / Escort tech";"L1";10;"caa5139064cdaf30953511aa51836ab3";"M";"White";"31";"1";"No";"Black / African American";"F";"20";"Yes";"UOF Justified"
"226";"FTN2018-0393";2018;"Other";"Tactical Deployments";"Yes";"Special Operations";"Canine (No Bite)";"L2";10;"68e73dd852688f066c46cbfccd74b3ba";"M";"Black / African American";"47";"18";"No";"Black / African American";"M";"18";"No";"UOF Justified"
"227";"FTN2018-0393";2018;"Other";"Tactical Deployments";"Yes";"Special Operations";"Canine (No Bite)";"L2";10;"68e73dd852688f066c46cbfccd74b3ba";"M";"Black / African American";"47";"18";"No";"Black / African American";"M";"18";"No";"UOF Justified"
"228";"FTN2018-0391";2018;"Arresting";"Flight from an Officer";"Yes";"7th District";"Firearm Exhibited";"L1";10;"9967684bf7ba0888370fd215c52d08da";"M";"Hispanic";"30";"3";"No";"Black / African American";"M";"17";"No";"UOF Justified"
"229";"FTN2018-0391";2018;"Arresting";"Flight from an Officer";"Yes";"7th District";"Firearm Exhibited";"L1";10;"9918ded260ab833889db4363e1b37e9b";"M";"White";"32";"3";"No";"Black / African American";"M";"17";"No";"UOF Justified"
"230";"FTN2018-0392";2018;"Arresting";"Resisting Lawful Arrest";"Yes";"4th District";"Hands / Escort tech";"L1";10;"c5d0a24e369e7dc14868b63a0b24a473";"M";"Black / African American";"22";"1";"No";"Black / African American";"F";"41";"No";"UOF Justified"
"231";"FTN2018-0392";2018;"Arresting";"Resisting Lawful Arrest";"Yes";"4th District";"Hands / Escort tech";"L1";10;"18f031e7ae71f9180fa34769a8b8fa4e";"F";"Black / African American";"31";"2";"No";"Black / African American";"F";"41";"No";"UOF Justified"
"232";"FTN2018-0390";2018;"Serving a Warrant";"Tactical Deployments";"Yes";"Special Operations";"Firearm Exhibited";"L1";10;"f8f0e1badfe42b464bab81c9f007b791";"M";"White";"32";"4";"No";"Black / African American";"M";"16";"No";"UOF Justified"
"233";"FTN2018-0389";2018;"Serving a Warrant";"Tactical Deployments";"Yes";"Special Operations";"Firearm Exhibited";"L1";10;"f8f0e1badfe42b464bab81c9f007b791";"M";"White";"32";"4";"No";"Black / African American";"F";"20";"No";"NULL"
"234";"FTN2018-0388";2018;"Serving a Warrant";"refuse verbal commands";"Yes";"3rd District";"Firearm Exhibited";"L1";10;"68b05229828fa6d7dcfa911368299c6e";"M";"Hispanic";"53";"11";"No";"Black / African American";"M";"NULL";"No";"UOF Justified"
"235";"FTN2018-0387";2018;"Call for Service";"Battery on Police Officer";"No";"8th District";"Head Strike (No Wep)";"L3";10;"dab8ca558fd7b12fc38c2515abe5ab84";"M";"Hispanic";"57";"21";"No";"Black / African American";"M";"39";"No";"UOF Justified"
"236";"FTN2018-0387";2018;"Call for Service";"Battery on Police Officer";"Yes";"8th District";"Hands / Escort tech";"L1";10;"2d2fe586644c2b2eafef2bc4b493dd74";"M";"White";"31";"4";"No";"Black / African American";"M";"39";"No";"UOF Justified"
"237";"FTN2018-0386";2018;"Arresting";"refuse verbal commands";"Yes";"5th District";"Firearm Exhibited";"L1";10;"affc196e3998d8c279f9afc9d4e9640a";"M";"Black / African American";"37";"6";"No";"Black / African American";"M";"24";"No";"UOF Justified"
"238";"FTN2018-0386";2018;"Arresting";"refuse verbal commands";"No";"5th District";"Firearm Exhibited";"L1";10;"dc24210055b5ceb2bce00ae80757f66e";"M";"Black / African American";"28";"3";"No";"Black / African American";"M";"24";"No";"UOF Justified"
"239";"FTN2018-0386";2018;"Arresting";"refuse verbal commands";"No";"5th District";"Firearm Exhibited";"L1";10;"08bf459aea1bd927c4edb56a6537f34b";"M";"White";"27";"2";"No";"Black / African American";"M";"24";"No";"UOF Justified"
"240";"FTN2018-0386";2018;"Arresting";"refuse verbal commands";"Yes";"5th District";"Canine (No Bite)";"L2";10;"941cc1938f5fa14513732309f0da3166";"M";"White";"38";"10";"No";"Black / African American";"M";"24";"No";"UOF Justified"
"241";"FTN2018-0385";2018;"Arresting";"refuse verbal commands";"Yes";"2nd District";"Hands / Escort tech";"L1";10;"f2b9f5a065c0bc1c4c8ba63c5d252e9b";"M";"White";"39";"12";"No";"Black / African American";"F";"14";"No";"NULL"
"242";"FTN2018-0385";2018;"Arresting";"refuse verbal commands";"Yes";"2nd District";"Hands / Escort tech";"L1";10;"41d36875b8e25dafb3dc9561b056eabd";"M";"Black / African American";"30";"3";"No";"Black / African American";"F";"14";"No";"NULL"
"243";"FTN2018-0384";2018;"Arresting";"Resisting Lawful Arrest";"Yes";"8th District";"Takedown (no injury)";"L1";10;"0e881e42ab86fa6c338ae8aa409d5c5a";"M";"White";"34";"9";"No";"White";"M";"26";"No";"UOF Justified"
"244";"FTN2018-0383";2018;"Call for Service";"refuse verbal commands";"Yes";"5th District";"Hands / Escort tech";"L1";10;"c4ca938f9fe53140218666bc8332feb2";"M";"White";"33";"3";"No";"Black / African American";"M";"22";"Yes";"UOF Justified"
"245";"FTN2018-0383";2018;"Call for Service";"refuse verbal commands";"Yes";"5th District";"Hands / Escort tech";"L1";10;"339f03fd181eefd0be1108f7fc25e41d";"F";"White";"47";"6";"No";"Black / African American";"M";"22";"Yes";"UOF Justified"
"246";"FTN2018-0381";2018;"Arresting";"Tactical Deployments";"Yes";"1st District";"Canine (No Bite)";"L2";10;"6bd2cc214f721191f3c88b07d3b580a4";"M";"White";"50";"27";"No";"Black / African American";"M";"21";"No";"UOF Justified"
"247";"FTN2018-0381";2018;"Arresting";"Tactical Deployments";"Yes";"1st District";"Firearm Exhibited";"L1";10;"5b9538b5d074177ad410772a81f0f493";"M";"Black / African American";"35";"9";"No";"Black / African American";"M";"21";"No";"UOF Justified"
"248";"FTN2018-0382";2018;"Traffic Stop";"refuse verbal commands";"Yes";"8th District";"Firearm Exhibited";"L1";10;"dc9e4f76b7198447413c754489a88bb3";"M";"White";"37";"10";"No";"Black / African American";"M";"38";"No";"UOF Justified"
"249";"FTN2018-0380";2018;"Call for Service";"refuse verbal commands";"Yes";"2nd District";"Hands / Escort tech";"L1";10;"de2cb783ff6c6c16ef8ab77b3f467b0c";"M";"Black / African American";"53";"27";"No";"Black / African American";"M";"36";"No";"UOF Justified"
"250";"FTN2018-0380";2018;"Call for Service";"refuse verbal commands";"Yes";"2nd District";"Hands / Escort tech";"L1";10;"a2bd37c37ecd8721b04ce4f0c91ad89a";"M";"Black / African American";"35";"1";"No";"Black / African American";"M";"36";"No";"UOF Justified"
"251";"FTN2018-0379";2018;"Arresting";"Resisting Lawful Arrest";"Yes";"8th District";"Takedown (w/injury)";"L2";10;"1d80f9b63da5d35f4ebd9d5dcb901465";"M";"White";"27";"3";"Yes";"Black / African American";"M";"33";"Yes";"UOF Justified"
"252";"FTN2018-0379";2018;"Arresting";"Resisting Lawful Arrest";"Yes";"8th District";"Takedown (w/injury)";"L2";10;"2d2fe586644c2b2eafef2bc4b493dd74";"M";"White";"31";"4";"Yes";"Black / African American";"M";"33";"Yes";"UOF Justified"
"253";"FTN2018-0379";2018;"Arresting";"Resisting Lawful Arrest";"Yes";"8th District";"Defense Tech / Take-down";"L2";10;"2d2fe586644c2b2eafef2bc4b493dd74";"M";"White";"31";"4";"Yes";"Black / African American";"M";"33";"Yes";"UOF Justified"
"254";"FTN2018-0379";2018;"Arresting";"Resisting Lawful Arrest";"Yes";"8th District";"Head Strike (No Wep)";"L3";10;"e14c18281b9ac2ae5810d8508050c030";"M";"White";"28";"4";"Yes";"Black / African American";"M";"33";"Yes";"UOF Justified"
"255";"FTN2018-0379";2018;"Arresting";"Resisting Lawful Arrest";"Yes";"8th District";"Baton/PR-24 (Strike)";"L3";10;"d424006e3be772509eb58b64d36ae456";"M";"White";"36";"10";"Yes";"Black / African American";"M";"33";"Yes";"UOF Justified"
"256";"FTN2018-0379";2018;"Arresting";"Resisting Lawful Arrest";"Yes";"8th District";"Baton (non-strike)";"L1";10;"d424006e3be772509eb58b64d36ae456";"M";"White";"36";"10";"Yes";"Black / African American";"M";"33";"Yes";"UOF Justified"
"257";"FTN2018-0379";2018;"Arresting";"Resisting Lawful Arrest";"Yes";"8th District";"Hands / Escort tech";"L1";10;"8c0a944402768b5b9b1e68abfeabbe7b";"M";"Black / African American";"35";"14";"Yes";"Black / African American";"M";"33";"Yes";"UOF Justified"
"258";"FTN2018-0377";2018;"Other";"Other";"No";"Special or Criminal Investigations";"Hands / Escort tech";"L1";10;"a4e71a8cb422af04eab36339a5f7960a";"M";"Black / African American";"53";"37";"No";"Black / African American";"M";"16";"No";"NULL"
"259";"FTN2018-0377";2018;"Other";"Other";"No";"Special or Criminal Investigations";"Head Strike (No Wep)";"L3";10;"a4e71a8cb422af04eab36339a5f7960a";"M";"Black / African American";"53";"37";"No";"Black / African American";"M";"16";"No";"NULL"
"260";"FTN2018-0378";2018;"Arresting";"Battery on Police Officer";"No";"Other";"L2-Taser";"L2";10;"18331c2de1b1cce97319fc268561dd7d";"M";"Black / African American";"61";"43";"No";"White";"M";"39";"No";"NULL"
"261";"FTN2018-0376";2018;"Call for Service";"Flight from an Officer";"No";"4th District";"L2-Taser";"L2";10;"ea9fd6703fdada009be30dd0f79f78de";"M";"Black / African American";"53";"17";"No";"Black / African American";"M";"20";"No";"UOF Not Justified"
"262";"FTN2018-0375";2018;"Call for Service";"refuse verbal commands";"Yes";"5th District";"Hands / Escort tech";"L1";10;"4705706447df5fa327b6152bd3a0680d";"F";"White";"35";"1";"Yes";"Black / African American";"M";"16";"No";"UOF Justified"
"263";"FTN2018-0373";2018;"Arresting";"refuse verbal commands";"Yes";"8th District";"Hands / Escort tech";"L1";10;"6a341ca8a0bab6f1dcca22d182d76f81";"M";"Black / African American";"42";"15";"No";"Black / African American";"M";"NULL";"No";"UOF Justified"
"264";"FTN2018-0373";2018;"Arresting";"refuse verbal commands";"Yes";"8th District";"Hands / Escort tech";"L1";10;"6a341ca8a0bab6f1dcca22d182d76f81";"M";"Black / African American";"42";"15";"No";"White";"M";"39";"No";"UOF Justified"
"265";"FTN2018-0374";2018;"Pedestrian Stop";"Flight from an Officer";"No";"7th District";"L2-Taser";"L2";10;"8b483566bfab6706c4e3ac82d5988303";"M";"White";"25";"2";"No";"Black / African American";"M";"NULL";"No";"UOF Justified With Policy Violation"
"266";"FTN2018-0372";2018;"Pedestrian Stop";"Weapon Exhibited";"Yes";"6th District";"Firearm Exhibited";"L1";10;"2f87d0758b38709c0c8d8a6ad10d4c6d";"M";"White";"28";"2";"No";"Black / African American";"M";"24";"No";"UOF Justified"
"267";"FTN2018-0372";2018;"Pedestrian Stop";"Weapon Exhibited";"Yes";"6th District";"Firearm Exhibited";"L1";10;"71833bf7740bc68e62ab5f68bbb9e89c";"M";"White";"28";"2";"No";"Black / African American";"M";"24";"No";"UOF Justified"
"268";"FTN2018-0370";2018;"Call for Service";"refuse verbal commands";"Yes";"7th District";"L2-Taser";"L2";10;"a6b6e6abe975f471d594e6ad027bbae1";"F";"Black / African American";"30";"1";"No";"Black / African American";"M";"29";"No";"UOF Justified"
"269";"FTN2018-0371";2018;"Call for Service";"Other";"Yes";"6th District";"Takedown (no injury)";"L1";10;"572b5a5336fc9f983989e375a6a6483b";"M";"Hispanic";"31";"2";"No";"Black / African American";"M";"30";"No";"UOF Justified"
"270";"FTN2018-0369";2018;"Serving a Warrant";"Tactical Deployments";"Yes";"Special Operations";"Firearm Exhibited";"L1";10;"7576bb5865444027ecd9dbdf2ad0eb1a";"M";"Black / African American";"44";"18";"No";"Black / African American";"F";"58";"No";"UOF Justified"
"271";"FTN2018-0370";2018;"Call for Service";"refuse verbal commands";"No";"7th District";"Hands / Escort tech";"L1";10;"3615b9a65af8fec663e774af8dbb344b";"M";"White";"28";"1";"No";"Black / African American";"M";"29";"No";"UOF Justified"
"272";"FTN2018-0370";2018;"Call for Service";"refuse verbal commands";"No";"7th District";"Hands / Escort tech";"L1";10;"1c3cdee35e935b862269e313ddb568c6";"M";"Black / African American";"24";"1";"No";"Black / African American";"M";"29";"No";"UOF Justified"
"273";"FTN2018-0367";2018;"Arresting";"Resisting Lawful Arrest";"No";"6th District";"Hands / Escort tech";"L1";10;"ee9eac1e3b524e6986a33b72a76b215f";"M";"White";"26";"2";"Yes";"Black / African American";"M";"52";"Yes";"UOF Justified"
"274";"FTN2018-0367";2018;"Arresting";"Resisting Lawful Arrest";"No";"6th District";"Hands / Escort tech";"L1";10;"5d34443714740ce0a2d0c510cf222f49";"M";"Hispanic";"26";"2";"Yes";"Black / African American";"M";"52";"Yes";"UOF Justified"
"275";"FTN2018-0367";2018;"Arresting";"Resisting Lawful Arrest";"Limited";"6th District";"L2-Taser";"L2";10;"1a1c8ae943727e480bfa33db711f0888";"M";"White";"35";"6";"Yes";"Black / African American";"M";"52";"Yes";"UOF Justified"
"276";"FTN2018-0367";2018;"Arresting";"Resisting Lawful Arrest";"Yes";"6th District";"Hands / Escort tech";"L1";10;"1e553ba351361b482d9e33ada974cd94";"M";"White";"44";"5";"Yes";"Black / African American";"M";"52";"Yes";"UOF Justified"
"277";"FTN2018-0368";2018;"Call for Service";"Weapon Exhibited";"Yes";"3rd District";"Firearm Exhibited";"L1";10;"d748aa90c0db2e82c2a628d253bd3163";"M";"White";"34";"2";"No";"Black / African American";"M";"18";"No";"NULL"
"278";"FTN2018-0368";2018;"Call for Service";"Weapon Exhibited";"Yes";"3rd District";"Firearm Exhibited";"L1";10;"e0a20d93c286215978f9b5f3518c8505";"M";"White";"40";"4";"No";"Black / African American";"M";"18";"No";"NULL"
"279";"FTN2018-0364";2018;"Call for Service";"Battery on Police Officer";"No";"1st District";"Hands / Escort tech";"L1";10;"a21651b9785e382118a6b8e98e80a240";"M";"White";"52";"11";"No";"Black / African American";"M";"24";"Yes";"UOF Justified"
"280";"FTN2018-0364";2018;"Call for Service";"Battery on Police Officer";"Limited";"1st District";"L2-Taser";"L2";10;"a21651b9785e382118a6b8e98e80a240";"M";"White";"52";"11";"No";"Black / African American";"M";"24";"Yes";"UOF Justified"
"281";"FTN2018-0364";2018;"Call for Service";"Battery on Police Officer";"No";"1st District";"Hands / Escort tech";"L1";10;"e5279484f528b7ff815da4a4a05a3ed9";"F";"Hispanic";"24";"3";"No";"Black / African American";"M";"24";"Yes";"UOF Justified"
"282";"FTN2018-0365";2018;"Arresting";"Resisting Lawful Arrest";"Yes";"8th District";"Takedown (no injury)";"L1";10;"1d80f9b63da5d35f4ebd9d5dcb901465";"M";"White";"27";"3";"No";"Black / African American";"M";"27";"No";"UOF Justified"
"283";"FTN2018-0365";2018;"Arresting";"Resisting Lawful Arrest";"Yes";"8th District";"Takedown (no injury)";"L1";10;"f25e961e582055fe40f8109558a43f78";"M";"White";"36";"9";"No";"Black / African American";"M";"27";"No";"UOF Justified"
"284";"FTN2018-0364";2018;"Call for Service";"Battery on Police Officer";"Yes";"1st District";"Takedown (no injury)";"L1";10;"3ea444a644fa0621bd4f5efe99613f35";"M";"Hispanic";"30";"3";"No";"Black / African American";"M";"24";"Yes";"UOF Justified"
"285";"FTN2018-0364";2018;"Call for Service";"Battery on Police Officer";"Yes";"1st District";"Hands / Escort tech";"L1";10;"2353a9062bc264db89e050ce2e27289d";"M";"White";"27";"1";"No";"Black / African American";"M";"24";"Yes";"UOF Justified"
"286";"FTN2018-0364";2018;"Call for Service";"Battery on Police Officer";"Yes";"1st District";"Hands / Escort tech";"L1";10;"fa768272dbc941f698f30b9c90b5b4eb";"M";"Black / African American";"28";"5";"No";"Black / African American";"M";"24";"Yes";"UOF Justified"
"287";"FTN2018-0363";2018;"Call for Service";"refuse verbal commands";"Yes";"1st District";"Takedown (no injury)";"L1";10;"f5dba6254990b6709dfa1efe5d2c980b";"M";"White";"32";"2";"No";"Black / African American";"F";"30";"No";"UOF Justified"
"288";"FTN2018-0363";2018;"Call for Service";"refuse verbal commands";"Yes";"1st District";"Takedown (no injury)";"L1";10;"ee96d793354de0fe5385f3da15025550";"M";"White";"35";"11";"No";"Black / African American";"F";"30";"No";"UOF Justified"
"289";"FTN2018-0362";2018;"Pedestrian Stop";"Resisting Lawful Arrest";"Yes";"8th District";"Defense Tech / Take-down";"L2";9;"5464c20b1384ad9f9f985ad50939f88c";"M";"Black / African American";"32";"2";"Yes";"Black / African American";"M";"23";"Yes";"UOF Justified With Training"
"290";"FTN2018-0362";2018;"Pedestrian Stop";"Resisting Lawful Arrest";"Yes";"8th District";"Hands / Escort tech";"L1";9;"7fc42c0201d4af974ae31e781e35ee71";"M";"White";"26";"3";"Yes";"Black / African American";"M";"23";"Yes";"UOF Justified With Training"
"291";"FTN2018-0358";2018;"Call for Service";"Resisting Lawful Arrest";"Yes";"5th District";"Hands / Escort tech";"L1";9;"160259c36fd42c7ef5bae22daf0f1b23";"F";"Black / African American";"50";"23";"No";"Black / African American";"M";"42";"No";"UOF Justified"
"292";"FTN2018-0358";2018;"Call for Service";"Resisting Lawful Arrest";"Yes";"5th District";"Hands / Escort tech";"L1";9;"f92852041b15169a1724cf0464fe016e";"F";"Black / African American";"37";"10";"No";"Black / African American";"M";"42";"No";"UOF Justified"
"293";"FTN2018-0358";2018;"Call for Service";"Resisting Lawful Arrest";"Yes";"5th District";"Hands / Escort tech";"L1";9;"c7335dd1e450a901fc479557b771c73c";"M";"White";"31";"9";"No";"Black / African American";"M";"42";"No";"UOF Justified"
"294";"FTN2018-0358";2018;"Call for Service";"Resisting Lawful Arrest";"Yes";"5th District";"Hands / Escort tech";"L1";9;"6d75b93f9f1234c83f654155cdbc2df0";"M";"Black / African American";"52";"14";"No";"Black / African American";"M";"42";"No";"UOF Justified"
"295";"FTN2018-0358";2018;"Call for Service";"Resisting Lawful Arrest";"Yes";"5th District";"Hands / Escort tech";"L1";9;"1d637bc30b39beae902aa096b82721d6";"F";"Black / African American";"31";"9";"No";"Black / African American";"M";"42";"No";"UOF Justified"
"296";"FTN2018-0359";2018;"Call for Service";"Resisting Lawful Arrest";"Yes";"7th District";"Takedown (no injury)";"L1";9;"cb85555359a3154396fe929d73aa7fce";"M";"Black / African American";"35";"2";"No";"Black / African American";"M";"NULL";"No";"UOF Justified"
"297";"FTN2018-0359";2018;"Call for Service";"Resisting Lawful Arrest";"Yes";"7th District";"Takedown (no injury)";"L1";9;"3da5fe0d632c1a58907167bb96b6ec80";"M";"Black / African American";"48";"2";"No";"Black / African American";"M";"NULL";"No";"UOF Justified"
"298";"FTN2018-0359";2018;"Call for Service";"Resisting Lawful Arrest";"Yes";"7th District";"Hands / Escort tech";"L1";9;"40666c7e6b0abafa077f2c43be2cfc5c";"M";"Black / African American";"35";"12";"No";"Black / African American";"M";"NULL";"No";"UOF Justified"
"299";"FTN2018-0360";2018;"Call for Service";"Resisting Lawful Arrest";"Yes";"1st District";"Takedown (no injury)";"L1";9;"74cd8e22bd95b4751ce2d4b7e3aa32bc";"M";"Asian / Pacific Islander";"24";"1";"No";"Black / African American";"M";"21";"No";"UOF Justified With Training"
"300";"FTN2018-0355";2018;"Call for Service";"Flight from an Officer";"Yes";"7th District";"Takedown (w/injury)";"L2";9;"d4f0816d87bd4814c831e0bfdf11c275";"M";"Black / African American";"22";"1";"No";"Black / African American";"M";"21";"Yes";"UOF Justified"
"301";"FTN2018-0357";2018;"Call for Service";"Resisting Lawful Arrest";"Yes";"5th District";"Takedown (no injury)";"L1";9;"8b91c589de18cd9a8f61d180b3bf8bf6";"M";"Black / African American";"61";"20";"No";"White";"M";"36";"No";"UOF Justified"
"302";"FTN2018-0357";2018;"Call for Service";"Resisting Lawful Arrest";"Yes";"5th District";"Takedown (no injury)";"L1";9;"199eb23e7d040284392e3eec4c9aca12";"M";"Black / African American";"33";"9";"No";"White";"M";"36";"No";"UOF Justified"
"303";"FTN2018-0354";2018;"Arresting";"Battery on Police Officer";"Yes";"1st District";"Hands / Escort tech";"L1";9;"b11d3c57265f77520ad58b646109e99d";"M";"Hispanic";"25";"1";"No";"Unknown race";"M";"37";"No";"UOF Justified"
"304";"FTN2018-0351";2018;"Arresting";"Resisting Lawful Arrest";"Yes";"8th District";"Takedown (no injury)";"L1";9;"0913dc6482458390515487fa6f4ff78a";"M";"White";"29";"1";"No";"White";"F";"21";"No";"UOF Justified"
