"FIT.Number";"year.of.record";"Service.type";"Reason.for.force";"UOF.effective";"District.or.division";"Force.type";"Force.level";"Month.occurred";"Officer.primary.key";"Officer.sex";"Officer.race";"Officer.age.at.time.of.UOF";"Officer.years.exp.at.time.of.UOF";"Officer.injured";"Citizen.race";"Citizen.sex";"Citizen.age";"Citizen.injured";"Disposition"
"25";"FTN2019-0033";2019;"Arresting";"refuse verbal commands";"Yes";"3rd District";"Hands / Escort tech";"L1";1;"87fd8891458645fbb45f97073825d506";"M";"Black / African American";"31";"1";"Yes";"White";"F";"42";"No";"NULL"
"26";"FTN2019-0029";2019;"Call for Service";"Resisting Lawful Arrest";"Yes";"3rd District";"Takedown (w/injury)";"L2";1;"b8b5a096e8a65b25878eee255061fdf3";"M";"White";"26";"3";"No";"Black / African American";"M";"40";"Yes";"UOF Not Justified"
"27";"FTN2019-0029";2019;"Call for Service";"Resisting Lawful Arrest";"Yes";"3rd District";"Hands / Escort tech";"L1";1;"68b05229828fa6d7dcfa911368299c6e";"M";"Hispanic";"54";"12";"No";"Black / African American";"M";"40";"Yes";"UOF Not Justified"
"28";"FTN2019-0028";2019;"Traffic Stop";"Flight from an Officer";"No";"7th District";"Firearm Exhibited";"L1";1;"9918ded260ab833889db4363e1b37e9b";"M";"White";"33";"4";"No";"Black / African American";"M";"35";"No";"UOF Justified"
"29";"FTN2019-0025";2019;"Call for Service";"Resisting Lawful Arrest";"Yes";"5th District";"Defense Tech / Take-down";"L2";1;"c2c900df943014a1443259d35a180e74";"M";"Hispanic";"34";"2";"Yes";"Black / African American";"M";"25";"Yes";"UOF Justified"
"30";"FTN2019-0025";2019;"Call for Service";"Resisting Lawful Arrest";"Yes";"5th District";"Hands / Escort tech";"L1";1;"c2c900df943014a1443259d35a180e74";"M";"Hispanic";"34";"2";"Yes";"Black / African American";"M";"25";"Yes";"UOF Justified"
"31";"FTN2019-0025";2019;"Call for Service";"Resisting Lawful Arrest";"Yes";"5th District";"Hands / Escort tech";"L1";1;"db52f19f1151289191949aaa80a32628";"M";"White";"27";"2";"Yes";"Black / African American";"M";"25";"Yes";"UOF Justified"
"32";"FTN2019-0025";2019;"Call for Service";"Resisting Lawful Arrest";"Yes";"5th District";"Defense Tech / Take-down";"L2";1;"db52f19f1151289191949aaa80a32628";"M";"White";"27";"2";"Yes";"Black / African American";"M";"25";"Yes";"UOF Justified"
"33";"FTN2019-0026";2019;"Pedestrian Stop";"Resisting Lawful Arrest";"Yes";"4th District";"Takedown (w/injury)";"L2";1;"7c68cc17b5d308882d5ecaacc0f754dc";"M";"Black / African American";"24";"3";"No";"Black / African American";"M";"22";"Yes";"UOF Justified With Policy Violation"
"34";"FTN2019-0026";2019;"Pedestrian Stop";"Resisting Lawful Arrest";"Yes";"4th District";"Takedown (w/injury)";"L2";1;"e081db2627ebbafc8fbba7effa6c43fa";"M";"Black / African American";"27";"3";"No";"Black / African American";"M";"22";"Yes";"UOF Justified With Policy Violation"
"35";"FTN2019-0024";2019;"Arresting";"refuse verbal commands";"Yes";"7th District";"Takedown (no injury)";"L1";1;"77f018d4c20619bd0281b97af7526810";"M";"Black / African American";"45";"14";"No";"Black / African American";"M";"25";"No";"UOF Justified"
"36";"FTN2019-0023";2019;"Call for Service";"Resisting Lawful Arrest";"Yes";"2nd District";"Takedown (no injury)";"L1";1;"e2461c95ef9ade568b4ccb94e72d385f";"F";"Black / African American";"30";"3";"No";"Black / African American";"M";"50";"No";"UOF Justified"
"37";"FTN2019-0022";2019;"Arresting";"Flight from an Officer";"Yes";"6th District";"L2-Taser";"L2";1;"69fb87f9245dfda43b7fc1e641b44f01";"M";"White";"46";"11";"No";"Black / African American";"M";"38";"No";"NULL"
"38";"FTN2019-0016";2019;"Call for Service";"Battery on Police Officer";"Yes";"3rd District";"Hands / Escort tech";"L1";1;"7080ac4ee0427401952ec26ea5484648";"M";"White";"50";"3";"Yes";"Black / African American";"M";"40";"Yes";"UOF Justified"
"39";"FTN2019-0016";2019;"Call for Service";"Battery on Police Officer";"Yes";"3rd District";"Takedown (w/injury)";"L2";1;"7080ac4ee0427401952ec26ea5484648";"M";"White";"50";"3";"Yes";"Black / African American";"M";"40";"Yes";"UOF Justified"
"40";"FTN2019-0015";2019;"Arresting";"Resisting Lawful Arrest";"Yes";"3rd District";"Takedown (no injury)";"L1";1;"3a96657ceec0b62fb433b4c070480c4e";"M";"Black / African American";"25";"3";"No";"Black / African American";"M";"31";"Yes";"UOF Justified"
