"","Empl.ID","age.bucket","Officer.sex","Officer.race","Zip"
"33","5db48840ad5e5e93328232d2505d11b9","51 or older","Male","Black / African American","70114"
"34","0617bdcabd3088034c931f0015c9251e","51 or older","Male","White","70461"
"35","c1568b4a9a83144293758dbc86d9b6b8","51 or older","Male","Black / African American","70114"
"36","30836b77cd394639e7e789745b9bd430","41 - 45","Male","Black / African American","70115"
"37","dfa03559bd562ef8597abfd6a9e2eb37","51 or older","Male","Black / African American","70114"
"38","55131514a2acc1753cdb8816b82f5d1d","51 or older","Male","Black / African American","70461"
"39","aae95b3cc42b8865d07d417e312f99b3","51 or older","Male","White","70435"
"40","f27ef388ac5d2be336bc307ffa6a5bd6","51 or older","Male","White","70122"
"41","729596eff907891e90e3b5736fb7b0e7","51 or older","Male","Black / African American","70131"
"42","4de4261398461bf1636d4a4b1bc0e8ad","51 or older","Male","Black / African American","70126"
"43","c60361528632a014b484b15c4166b839","51 or older","Male","Black / African American","70126"
"44","fb345985a119a2b0f99a7896efa4d2c7","51 or older","Male","Black / African American","70122"
"45","3e498add232a09d8b98b704313d6bd56","51 or older","Male","Black / African American","70114"
"46","1e1e0c8dfd89ee25a07797005e818785","51 or older","Male","White","70431"
"47","3c076c4931814d9d49fe5cad201bcab4","51 or older","Male","Black / African American","70114"
"48","a05c98912c414b70e85501f783dee67b","46 - 50","Male","White","70129"
"49","cf61f00b1c8655f951ea8c312db9736c","51 or older","Male","Black / African American","70006"
"50","18c9ef2aa595c79aec4669f9f36d98fa","51 or older","Male","Black / African American","70114"
"51","d22d93b7e9bc7e01b7ae2d30b4ee7c3d","51 or older","Male","Black / African American","70122"
"52","03bdb6dba457ceb155bbe38dc3bd7e83","51 or older","Male","Black / African American","70131"
"53","43da39a64eba3ee7e745492cfba4fcb8","51 or older","Male","Black / African American","70122"
"54","36d3fbef26a8d8c63a5cfc143dea987e","51 or older","Male","Black / African American","70118"
"55","d5d13bd88d6a731a2fe3c04a6d1712aa","51 or older","Male","Black / African American","70122"
"56","2e5e2b92ba506440d3eb6bf11c922989","46 - 50","Male","Black / African American","70131"
"57","c1aa5e79e2e05b895460d9bff2d53bca","41 - 45","Male","Black / African American","70072"
"58","4ea2114e2ed6fc84a4e42cc39f19a623","51 or older","Male","White","70124"
"59","4276d0b5c6ce2141598063940868c992","51 or older","Male","White","70128"
"60","3a15dbf05f452b5ec4b200f697a269e9","41 - 45","Female","White","70065"
"61","43c9174dac3e4692981916d9c17840f1","51 or older","Male","White","70458"
"62","c5bfeca390d41ddf08bfe22454a11fa7","51 or older","Male","Black / African American","70122"
"63","ef1c5b0eb001d7aadbb6a9c474848eeb","51 or older","Male","White","70124"
"64","0fdd49cf2b396cb62516b335cec3fc2c","46 - 50","Male","White","70458"
"65","78c2925f4ffe59b8ba1276eb3f93e484","51 or older","Male","Black / African American","70131"
"66","24bb491c2c9e43dd694281ff29e047f0","51 or older","Male","Black / African American","70460"
"67","5c8f68f6d8beab6594323db7c4c88f04","46 - 50","Male","Black / African American","70769"
"68","2fb93fcfa443b2866801d06bd41d89a4","51 or older","Male","Black / African American","70126"
"69","bb3de4b032a3e98b2a0994d97c298ec3","41 - 45","Male","Black / African American","70084"
"70","532aec8e1f32dd8b57a60ece4df82bba","51 or older","Male","White","70131"
"71","d5a77b761e09a70121c6ecf60102adee","41 - 45","Female","Black / African American","70461"
"72","54fb4ee31104736f18cfdd2262e0ebdf","51 or older","Male","Black / African American","70122"
"73","2a5cb918a476bfabe68db73867e85597","51 or older","Male","White","70124"
"74","eccbc47e0a3988f72e0dc2b41a291df2","41 - 45","Male","Black / African American","70128"
"75","a39d3fa68403bf081f9a427f0ea7e00b","41 - 45","Male","Black / African American","70126"
"76","bed7c369509f0df399a83a9aba8937a8","51 or older","Male","White","70003"
"77","521e310bd5a18139b2a182917d2fa9c7","51 or older","Male","Black / African American","70114"
"78","35dc2bd5bfa0ca7804ebf5258b16553c","41 - 45","Male","White","70005"
"79","bc65ac42da81eaf2dc8d590ffa9cb022","46 - 50","Male","White","70129"
"80","33e56c43d9e554966c55647ad00e388e","41 - 45","Male","Black / African American","70126"
"81","291882f723cb18bb7d4b2a99cc426bae","41 - 45","Female","Black / African American","70131"
"82","82037ce3d65c94d56cc31ba6dd55ddf3","51 or older","Male","Black / African American","70122"
"83","1400e16fe0e17ee811c2d82486cbc6de","51 or older","Male","White","70005"
"84","befdca8ef2b7048f4ccf1aeed63a0954","51 or older","Male","Black / African American","70460"
"85","e42ccb2f53023ec4edd4c968878bf0fa","51 or older","Male","Black / African American","70127"
"86","7d2ab9cf53f541f02ee38bc0450470b2","51 or older","Female","Black / African American","70114"
"87","e45cf4dbc367cf7437eafbb5f81d0c8b","46 - 50","Male","Black / African American","70127"
"88","a826ad91b5c88a5cc6ea34804ffb74d8","51 or older","Male","White","70131"
"89","aa42f6299caaf40fe7f1087b49ed8a92","51 or older","Male","Black / African American","70131"
"90","832c7f0c66d3ef9344f2a6bca7f0ee8c","46 - 50","Female","Black / African American","48239"
"91","adf94ebcab7470610f9daf2ca580da9e","51 or older","Male","Black / African American","70122"
"92","276a1828a9acd1f2c3a9a375250680ac","51 or older","Male","Black / African American","70126"
"93","d296e33fbb0e7ff1107dfa6a901d6486","46 - 50","Male","Black / African American","70005"
"94","a7e3043915bc058867829fcc458ffc9a","46 - 50","Male","Black / African American","70466"
"95","9271b5646200f50ff3715e2d3f8069d3","51 or older","Female","Black / African American","70058"
"96","0c99d9281cfb0a53d542fa8e2f0330f5","51 or older","Male","Black / African American","70072"
"97","7d3555f24ca17d8396f167899843e966","51 or older","Female","Black / African American","70128"
"98","1be0349a7a386bbff4705ea4399b41d7","51 or older","Male","Black / African American","70058"
"99","4dd67235056355f5f88d1dff171fdb03","51 or older","Male","Hispanic / Latinx","70433"
"100","be3c185430f7803f267e6d4dfb81373e","51 or older","Male","Black / African American","70127"
"101","5f14698979616eeb2cf9ea8b9be4f9fe","51 or older","Male","Black / African American","78233"
"102","e035493984e3a675416609e250f39aeb","51 or older","Male","White","70112"
"103","ec30b79b6e9f181decb7131e819e3d64","51 or older","Male","White","70005"
"104","ac82383199f87cea8934122aaecdb105","51 or older","Male","Black / African American","70126"
"105","0b2d60a3c16b04bdc29742390e885008","51 or older","Male","Black / African American","70137"
"106","5117d5b0a3fd1bc83414219481bf4034","51 or older","Male","Black / African American","70131"
"107","c42610f1c01a02c855aad811139cab26","46 - 50","Female","Black / African American","70128"
"108","f23fbd8bf58015f3a6d0d49e2d461d82","41 - 45","Female","Black / African American","70461"
"109","6cfb225fa829d62f996b7d9a13b8a58e","51 or older","Male","Black / African American","70114"
"110","89d90c4191dcdabadb8e7815815f8add","51 or older","Male","White","70072"
"111","0484bd7b0adf8ba097c78d858a94f45c","51 or older","Female","Black / African American","70131"
"112","6de9c4ff75afee969149c1409eed01ac","51 or older","Female","Black / African American","70461"
"113","c9b23037e34e525f7e11a0b0716634b8","51 or older","Male","Black / African American","70065"
"114","04b81975b31161af8d963bab097db11e","51 or older","Female","Black / African American","70126"
"115","5b8f725fb0e941ecba717ac824591ba7","51 or older","Female","Black / African American","70131"
"116","bd227341d91364442b72747b44b2d49e","46 - 50","Male","White","70124"
"117","c912ddf75cdd03e11c8b2eadebaf9557","51 or older","Female","Black / African American","70126"
"118","0f293884a7e633ccb5c86e1ebbd94da4","51 or older","Male","Black / African American","70119"
"119","5c22a59eab90c28e7cdd19e84ab0ecfe","51 or older","Male","Black / African American","70128"
"120","ef46fa7dbbbcbb8bccaf0f8797140423","51 or older","Male","White","70458"
"121","acdfeba5f9534880a658fea8d5b1213a","41 - 45","Male","Black / African American","70128"
"122","aaa2e740cb3271ba1ef8215ca69eafc9","46 - 50","Male","Black / African American","70119"
"123","97e3ea70929aed879f7e2a5e7e36724e","46 - 50","Male","Black / African American","70119"
"124","129199f6ee9f493a9c25d5ca58b5ab98","51 or older","Male","Black / African American","70131"
"125","8239b1cc6da7521100431e3b9d9a4367","51 or older","Male","Black / African American","70058"
"126","6d8d8ac150a298d987b474f51016dd63","51 or older","Male","Black / African American","70461"
"127","95ec58c952435ab670df823a4781f769","46 - 50","Male","Black / African American","70737"
"128","76221e2fcc8caa73d4b109ec7eb781fc","46 - 50","Male","Black / African American","70122"
"129","d86412ce000a87dca7dce961c503e594","46 - 50","Female","Black / African American","70128"
"130","441faf0b69eeeb24553d5eb3fc85ca87","46 - 50","Male","White","70037"
"131","5b5cbfac90443193e6979e12b4dca128","46 - 50","Male","Black / African American","70461"
"132","6530fd2edefb1e95720098f11eb0e44e","41 - 45","Male","White","70131"
"133","3fe92e9396d0d62603826d4897b3e964","51 or older","Male","Black / African American","70114"
"134","2c5afd7b844b8dbf0e43b925d4aefbc0","51 or older","Female","White","70431"
"135","ef0335ddfc7fb213732c062ca7829ea8","51 or older","Male","White","70461"
"136","47e07b45c5883783b188cf367c7248bf","51 or older","Male","Black / African American","70734"
"137","90b68b0b071760b23eb1bbd90602f9ec","51 or older","Female","White","70462"
"138","efb336e99c76531556b1e96bb63d33a3","51 or older","Male","White","70005"
"139","4d572df67d86e0ac6f5cd50c9d4bab10","51 or older","Male","White","70118"
"140","0bb795c3f304f4546972118f561d66ab","51 or older","Male","White","70452"
"141","c31851a972a644e450e94efcc0c84e8d","51 or older","Male","Black / African American","70128"
"142","decec71576f6c0c24df4c938b16d6e19","51 or older","Female","White","70121"
"143","dc6a85009f326a559b1e42f27633def9","51 or older","Male","Black / African American","70454"
"144","a496a44c0486274f0f41b6f74621934b","51 or older","Male","Black / African American","70126"
"145","d2bca95f9d96b3c6764ebcd770fcd091","51 or older","Male","White","70047"
"146","d090add5e6cac1ccc5653d856da71497","46 - 50","Male","White","70124"
"147","65e6b9ab7e95248bf20e0ea9b3552982","51 or older","Male","Black / African American","70114"
"148","2022f2f692bb5f2961069d144c962c17","51 or older","Male","Black / African American","70072"
"149","d8969ec4641acdf5ba5bdb53837a4b66","51 or older","Male","Black / African American","70114"
"150","fc3e6a5ca94009e34834aedd989489b5","46 - 50","Male","Black / African American","70119"
"151","e75995355f35ec659b27ca8aa3aff5bd","51 or older","Male","Black / African American","70122"
"152","9eb9b568cff7c729ae291e3eec1b1e4c","51 or older","Male","Hispanic / Latinx","70065"
"153","5f136f2087a59466b7503185da33c0f3","51 or older","Male","White","70124"
"154","337c4723b078c42f2a99255160c3bd37","51 or older","Male","Black / African American","70128"
"155","74802c1615a54e66c6d916b0846781f4","51 or older","Male","White","70125"
"156","a7cf63e1ebebf27aa9a805fcd86f8256","51 or older","Male","Black / African American","70131"
"157","069b2e19c064b79551f6c02301aebc92","51 or older","Male","Black / African American","70461"
"158","0b289b97a814f6ca0ff7fd6b1ccff46f","46 - 50","Male","White","70131"
"159","c3e7f520cbf02b5de5792d76c3f09a8e","46 - 50","Male","Black / African American","70131"
"160","f2575e59e111bb4f58593363ca7eeb47","51 or older","Male","Black / African American","70122"
"161","3f18bd1eb04f9ced694f1577f1f395cc","46 - 50","Female","Black / African American","70127"
"162","54044fc1d24694f4ff6efebf25abbcd9","46 - 50","Male","Black / African American","70126"
"163","92eab57e8fee9fa86e253b502bc7036d","51 or older","Male","Black / African American","70032"
"164","304381c16d4fd718a9a0c05285c58154","51 or older","Male","Black / African American","70126"
"165","78e5a63c1e8eb0227ab5be2a041bf3df","51 or older","Female","Black / African American","70122"
"166","e966a3708b41c02816aaf2ab991d5d6a","46 - 50","Male","Black / African American","70128"
"167","f8a979fee7c54c425f8b00a049495b7d","51 or older","Male","Black / African American","70127"
"168","976e390c08ccb4b79f3c95e49567518f","51 or older","Male","Black / African American","70127"
"169","a3cdb80de9ccf200055ce6368e513f50","51 or older","Male","White","70124"
"170","24323f111098f12602e6470c69376757","46 - 50","Female","Black / African American","70122"
"171","0352988960aa16e20411192459b99d33","51 or older","Male","White","70003"
"172","4a25565d6478529efb9d0a1d2db89566","46 - 50","Male","White","70123"
"173","794f07b70ddc40cb57f06971f9a8fdc5","41 - 45","Female","Black / African American","70128"
"174","0ddc0641f2ede16230566117111e8b18","51 or older","Female","Black / African American","70131"
"175","3d49d122ac23b27ca0000523f7faa627","41 - 45","Male","White","70075"
"176","6d3e334f09b46c6bc125f442ce635f10","51 or older","Male","White","70116"
"177","32c8cadf06b0aae05fcaef81ebd452c9","51 or older","Male","Black / African American","70131"
"178","f8f02c2f8fd7be2e2156e1c3bb2ef15d","51 or older","Male","White","70124"
"179","dcc15ee7bdcd39c9cd9a7d8f4cf1984d","51 or older","Male","White","70128"
"180","bb628f0969d2f0b1aa58745eb1ea4a15","51 or older","Male","White","70131"
"181","6e25feeeb9a1a6cde1daa5ecd1e19e0f","51 or older","Male","Black / African American","70131"
"182","daae22bfeeb686ef3e93e7821ea8b2e3","51 or older","Female","Black / African American","70131"
"183","ccda6d64a7ef0763af2818544d0760e9","51 or older","Male","White","70124"
"184","eef235cb82ac9a2ce7e1c88f29c40f83","51 or older","Male","Black / African American","70126"
"185","458d03195ce7309e68c13406c414d9bd","51 or older","Male","White","70131"
"186","e0fba1342564a97c6b05aaf92feecf9c","51 or older","Male","White","70003"
"187","aca083b89bce671537831be5f297d456","46 - 50","Male","Black / African American","70094"
"188","298158d70943af410eb648714baaf2bb","51 or older","Male","White","70006"
"189","b8c7884a92ea46dacbcec3de158b7d25","51 or older","Male","Black / African American","70122"
"190","706126d2a3f9bbff788acf0ae2fb8e04","46 - 50","Male","White","70458"
"191","f3aa02b3370d872d54c4217a9d45ebcf","41 - 45","Male","Black / African American","70119"
"192","06339c5704121f11955799759602a822","46 - 50","Male","White","70769"
"193","6db08531937848a54ccb462941e8b908","46 - 50","Male","Black / African American","70114"
"194","005d38384c659d7c89e2830636a1a688","46 - 50","Male","Black / African American","70129"
"195","43c770e54f4b2c70dd40662db0ba7d4c","51 or older","Male","Native / Indigenous","70116"
"196","dfaccf7f13157a8b01f120e5ce19a9d8","51 or older","Male","White","70058"
"197","92efb46d366385841a9d383ea6cc731a","51 or older","Male","Black / African American","70115"
"198","ab80a4f9dc3a679759f090f92c9192da","51 or older","Male","Black / African American","70131"
"199","d377cf98eafb6afd5ce43379dd3a3f49","51 or older","Male","Black / African American","70128"
"200","969a5862c4170499959f9e35ec28bfe9","51 or older","Male","Black / African American","70131"
"201","a169b23e78fcf4e528b433715eaa60f9","51 or older","Male","Black / African American","70448"
"202","db2878cf791eeb12b5e2309699f9a45e","51 or older","Female","White","70114"
"203","5c1191bbb5aa1876c5f7a7664716291a","46 - 50","Female","White","70122"
"204","9ecf281d70fcd4d249ed6511d26468e7","46 - 50","Male","Black / African American","70125"
"205","7f597fc382a8cbe6ab07f1874400ee70","46 - 50","Male","Black / African American","70001"
"206","a5b2f2f7fe5e46908bda61d1029c05e2","51 or older","Male","Black / African American","70128"
"207","bcc22a34f58cfc209f84940946b1e597","51 or older","Male","White","70461"
"208","df820017ff0782ae2799110b8c9965aa","51 or older","Male","Black / African American","70131"
"209","627e85410be623f130d287bb2dbe26a4","46 - 50","Male","Black / African American","70128"
"210","86ceb2333c9ed8801b3fb9000437b572","51 or older","Male","Black / African American","70122"
"211","fba8d53cd970893b02fccd017aa17964","51 or older","Male","Black / African American","70118"
"212","e5e73fad1a7233ebdf2b3a13517d1617","51 or older","Male","Black / African American","70131"
"213","3d3625519af74c850c8fe6202d9fde4e","51 or older","Male","Black / African American","70114"
"214","cd4c50457aaf2f0b580f0ae1cd8ca99a","51 or older","Female","Black / African American","70126"
"215","2a47e8e391532ab795da4b5558329020","41 - 45","Male","Black / African American","70114"
"216","9c0cdd81c254e6be363c5237f2a596f5","51 or older","Male","White","70131"
"217","4f5d6c45d606f84ed12e7463974ba1d1","41 - 45","Male","Black / African American","70084"
"218","6bff962fc9eaadc9ea816659e8718921","51 or older","Male","White","70458"
"219","1c6e082eaa6e7b8c66398dbf5f6e573d","51 or older","Male","Black / African American","70058"
"220","2a5733b709fc305b7c7c2452e70627ca","46 - 50","Male","Black / African American","70458"
"221","0cd282b78f5d8339a3bf5abac475ce88","51 or older","Male","Black / African American","70130"
"222","61c1ae7eece1c6af801556ff40b5b57b","46 - 50","Male","White","70448"
"223","e0e5feee7532fb4b39cdc1bf9c671a67","46 - 50","Male","Black / African American","70072"
"224","4c6f99a6a239a1baf27305bb18e167ee","51 or older","Male","Black / African American","70461"
"225","eaa49940db0dac1469038cf79415ef07","51 or older","Male","Hispanic / Latinx","70131"
"226","ee48dfe410575669f29ce5bc1d546384","51 or older","Male","Black / African American","70131"
"227","6e8a1776659ec622ea2b45813d8f94b3","51 or older","Female","Black / African American","70131"
"228","1c0fa3dfceaf4aa01375133adddc0b74","51 or older","Male","Black / African American","70130"
"229","7153e22c333bfb11e66daeec5edf8eab","51 or older","Male","White","70003"
"230","2c9533edff46aae3fd22bbc122ab5f22","46 - 50","Female","Black / African American","70127"
"231","5fa034522c84f34bfb5583b0f19b066e","41 - 45","Male","White","70006"
"232","f118f292ae52c941c3fbac316a8c2108","51 or older","Male","Black / African American","70122"
"233","0315eb85da918ea8f80bc690089d176f","51 or older","Male","Black / African American","70126"
"234","921605c1527a4554940c6a9f992c50e1","46 - 50","Male","Black / African American","70131"
"235","44fc4a513de594974265c3abcec7ea1e","51 or older","Male","White","70458"
"236","59b62968a6c687e16133db5c3d0bfe73","51 or older","Male","White","70131"
"237","1cd53bcd6495168937b7d1e890458ff7","46 - 50","Male","Black / African American","70461"
"238","67fb1b9192c5a351ed84b1e1ef1e7d61","46 - 50","Male","Black / African American","70114"
"239","300c54c4f57d1e5a8ff544d56d39f70b","51 or older","Female","Black / African American","70127"
"240","4f587f9f94c22dc6447ed00c4771d740","46 - 50","Male","White","70448"
"241","e1590307129e397f5b18a44f71c433c8","46 - 50","Female","Black / African American","70460"
"242","c0b4fb8df2c580bfb10d29248f9bac63","46 - 50","Male","Black / African American","70127"
"243","e0eb6d4e2f63ee60ed7c87413243ccd2","51 or older","Male","White","70001"
"244","28e99ba69a86fd319220d71470960905","41 - 45","Male","Black / African American","70131"
"245","949cfc8ace85fd4139176dd923a5c1a5","51 or older","Male","White","70122"
"246","ea0de6d3506adf3333ffcdbde901e8f8","51 or older","Male","Black / African American","70114"
"247","ab64859bb656295fa217080f77708e2c","51 or older","Male","White","70122"
"248","ae4792c61174a203bf5e7674bc73fcf5","51 or older","Male","Black / African American","70447"
"249","870f52acbdc2be82c0315d8d0fcf2638","51 or older","Male","Black / African American","70065"
"250","30246aabe73b21b4531c1b2f40cda314","51 or older","Male","Black / African American","70118"
"251","1c6bdd7cbf9b64c7ad4084fb3f0a7220","51 or older","Male","Black / African American","70128"
"252","9495b61173e2eca85ce8934bc94aefa6","51 or older","Female","Black / African American","70115"
"253","24beb79874433445b42c22974f30192e","51 or older","Male","Black / African American","70122"
"254","44fb3448a65613fa46c4f60bd4f511b1","51 or older","Male","Black / African American","70122"
"255","1669b636992dfe2a8bbdb04f518ca483","51 or older","Male","Black / African American","70117"
